Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,JobLevel,JobRole,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,work_duration_mean,arrival_hour_mean,depart_hour_mean,overtime_rate,n_work_days,attendance_rate
0,Travel_Rarely,Research & Development,14,4,Life Sciences,13,1,Sales Executive,55380,0.0,17,0,37.0,2,36,4,13,4.0,1.0,3.0,3,3,9.301409509946627,9.541484716157205,18.799126637554586,0.8773946360153256,229,0.8773946360153256
1,Non-Travel,Research & Development,1,1,Medical,14,1,Research Scientist,57620,1.0,11,2,10.0,4,10,9,9,1.0,2.0,2.0,2,3,9.399931442080378,9.506382978723405,18.940425531914894,0.9003831417624522,235,0.9003831417624522
0,Travel_Rarely,Research & Development,1,3,Life Sciences,15,1,Manufacturing Director,25920,1.0,14,0,5.0,2,5,0,4,4.0,4.0,2.0,3,3,6.08968764407561,9.489626556016598,15.601659751037344,0.0,241,0.9233716475095786
0,Travel_Rarely,Research & Development,1,3,Life Sciences,16,2,Healthcare Representative,53460,4.0,11,0,7.0,2,5,0,1,3.0,4.0,4.0,3,3,6.705174636661979,9.527426160337553,16.168776371308017,0.0,237,0.9080459770114943
0,Travel_Rarely,Research & Development,3,2,Life Sciences,17,1,Laboratory Technician,42130,1.0,12,3,3.0,3,3,1,0,4.0,3.0,4.0,2,3,6.619040626529614,9.54625550660793,16.158590308370044,0.0,227,0.8697318007662835
0,Non-Travel,Research & Development,1,3,Medical,18,2,Sales Executive,41270,2.0,13,1,15.0,2,5,0,2,1.0,4.0,3.0,3,3,11.014328139114726,9.536585365853659,20.524390243902438,0.9425287356321839,246,0.9425287356321839
0,Travel_Rarely,Sales,7,4,Life Sciences,19,1,Sales Representative,24380,7.0,16,0,10.0,5,7,6,2,2.0,2.0,2.0,2,3,6.960253831417625,9.517241379310345,16.448275862068964,0.0,232,0.8888888888888888
0,Travel_Rarely,Research & Development,8,3,Life Sciences,20,1,Manager,68700,1.0,11,1,8.0,5,8,7,7,1.0,1.0,3.0,3,3,9.293555796055795,9.515151515151516,18.818181818181817,0.8850574712643678,231,0.8850574712643678
0,Travel_Frequently,Research & Development,1,4,Other,21,2,Laboratory Technician,104470,1.0,18,0,6.0,3,6,1,4,3.0,2.0,1.0,3,3,7.590778256704982,9.517241379310345,17.09051724137931,0.10344827586206896,232,0.8888888888888888
0,Travel_Rarely,Sales,8,4,Life Sciences,22,1,Research Scientist,96670,3.0,23,0,28.0,2,10,1,6,1.0,2.0,2.0,2,4,6.008613495469718,9.493562231759658,15.523605150214593,0.0,233,0.89272030651341
0,Travel_Rarely,Research & Development,11,4,Life Sciences,23,2,Research Scientist,21480,3.0,11,0,21.0,2,5,1,3,3.0,3.0,2.0,3,3,8.402108477011494,9.504310344827585,17.92241379310345,0.8045977011494253,232,0.8888888888888888
0,Travel_Rarely,Research & Development,4,4,Life Sciences,24,1,Manufacturing Director,89260,1.0,14,0,,4,20,11,6,2.0,3.0,3.0,1,3,6.8070052800734615,9.487603305785123,16.33884297520661,0.0,242,0.9272030651340997
0,Travel_Frequently,Research & Development,16,4,Medical,25,1,Laboratory Technician,65130,1.0,11,1,10.0,2,10,0,9,2.0,4.0,2.0,3,3,7.093167388167388,9.471861471861471,16.584415584415584,0.0038314176245210726,231,0.8850574712643678
0,Travel_Rarely,Research & Development,1,4,Other,26,1,Research Scientist,67990,3.0,11,0,12.0,2,10,0,8,2.0,4.0,3.0,3,3,9.362002074688798,9.53941908713693,18.896265560165975,0.9233716475095786,241,0.9233716475095786
0,Travel_Frequently,Research & Development,9,3,Life Sciences,27,1,Manager,162910,1.0,22,0,5.0,3,5,3,3,1.0,1.0,3.0,3,4,10.977123430962344,9.518828451882845,20.502092050209207,0.9157088122605364,239,0.9157088122605364
0,Travel_Rarely,Sales,5,1,Marketing,28,1,Research Scientist,27050,1.0,11,0,17.0,2,17,5,7,4.0,4.0,3.0,3,3,7.604444444444445,9.51271186440678,17.072033898305083,0.0842911877394636,236,0.9042145593869731
1,Travel_Frequently,Research & Development,1,2,Medical,29,2,Research Scientist,103330,3.0,14,1,19.0,2,1,0,0,4.0,3.0,1.0,2,3,10.97758573388203,9.506172839506172,20.497942386831276,0.9310344827586207,243,0.9310344827586207
0,Travel_Rarely,Sales,2,3,Marketing,30,1,Manager,44480,9.0,12,0,10.0,3,2,1,2,4.0,4.0,3.0,2,3,6.8312753623188405,9.5,16.32608695652174,0.0,230,0.8812260536398467
1,Travel_Rarely,Research & Development,4,3,Medical,31,3,Research Scientist,68540,2.0,11,0,5.0,5,3,0,2,1.0,2.0,3.0,2,3,10.109408263305323,9.504201680672269,19.613445378151262,0.9118773946360154,238,0.9118773946360154
0,Travel_Rarely,Research & Development,7,3,Other,32,1,Human Resources,96370,1.0,13,0,5.0,6,5,0,2,4.0,4.0,3.0,2,3,6.709665977961433,9.487603305785123,16.173553719008265,0.0,242,0.9272030651340997
0,Travel_Frequently,Research & Development,1,1,Medical,33,2,Research Scientist,35910,9.0,13,0,22.0,2,3,1,2,3.0,1.0,3.0,3,3,10.518214624881292,9.521367521367521,20.017094017094017,0.896551724137931,234,0.896551724137931
0,Travel_Rarely,Sales,5,3,Technical Degree,34,3,Sales Executive,54050,4.0,14,0,10.0,2,8,7,7,3.0,2.0,3.0,3,3,6.182887517146776,9.48559670781893,15.674897119341564,0.0,243,0.9310344827586207
0,Travel_Frequently,Research & Development,9,4,Medical,35,1,Sales Executive,46840,1.0,16,1,2.0,4,2,2,2,4.0,2.0,2.0,3,3,6.586388888888888,9.533333333333333,16.125,0.0,240,0.9195402298850575
1,Travel_Rarely,Research & Development,8,3,Medical,36,2,Manager,157870,1.0,12,2,8.0,5,8,7,4,4.0,4.0,3.0,3,3,10.272241379310346,9.39655172413793,19.728448275862068,0.8888888888888888,232,0.8888888888888888
0,Travel_Frequently,Sales,9,1,Marketing,37,1,Laboratory Technician,15140,1.0,14,0,4.0,3,4,1,2,2.0,4.0,2.0,3,3,9.982733011937558,9.512396694214877,19.47107438016529,0.9272030651340997,242,0.9272030651340997
0,Travel_Frequently,Sales,2,2,Marketing,38,3,Research Director,29560,5.0,13,0,23.0,2,20,4,8,3.0,2.0,4.0,3,3,5.979567632850242,9.486956521739131,15.508695652173913,0.0,230,0.8812260536398467
1,Travel_Rarely,Research & Development,1,4,Life Sciences,39,1,Sales Executive,23350,1.0,14,2,0.0,3,0,0,0,3.0,3.0,3.0,2,3,6.775967939304944,9.48898678414097,16.251101321585903,0.0,227,0.8697318007662835
0,Travel_Rarely,Sales,20,2,Life Sciences,40,1,Laboratory Technician,51540,0.0,19,0,12.0,2,11,6,9,3.0,2.0,2.0,2,3,7.690160390516039,9.548117154811715,17.251046025104603,0.13026819923371646,239,0.9157088122605364
0,Travel_Frequently,Research & Development,8,3,Other,41,3,Sales Executive,69620,4.0,12,2,4.0,2,1,0,0,3.0,,3.0,2,3,7.204732468123862,9.561475409836065,16.758196721311474,0.0,244,0.9348659003831418
0,Travel_Rarely,Research & Development,2,3,Life Sciences,42,2,Laboratory Technician,56750,5.0,13,0,13.0,2,4,1,2,4.0,2.0,3.0,2,3,7.594769503546099,9.608510638297872,17.161702127659574,0.09961685823754789,235,0.9003831417624522
0,Travel_Rarely,Research & Development,29,1,Life Sciences,43,1,Laboratory Technician,23790,1.0,12,0,22.0,6,22,0,4,4.0,2.0,3.0,3,3,6.95264233241506,9.508264462809917,16.421487603305785,0.0,242,0.9272030651340997
0,Travel_Rarely,Sales,7,3,Life Sciences,44,1,Research Scientist,38120,1.0,15,0,0.0,3,0,0,0,4.0,3.0,3.0,3,3,7.008878472222222,9.466666666666667,16.4875,0.0,240,0.9195402298850575
0,Travel_Rarely,Research & Development,9,3,Medical,45,1,Sales Representative,46480,0.0,23,2,9.0,2,8,0,7,2.0,1.0,3.0,2,4,7.201573315118397,9.454918032786885,16.700819672131146,0.0038314176245210726,244,0.9348659003831418
0,Travel_Rarely,Research & Development,8,1,Technical Degree,46,1,Manufacturing Director,29360,4.0,12,1,10.0,2,8,7,7,2.0,4.0,2.0,3,3,7.1728749999999994,9.5125,16.6875,0.007662835249042145,240,0.9195402298850575
0,Travel_Rarely,Sales,5,4,Marketing,47,2,Human Resources,21050,0.0,20,0,19.0,3,18,3,7,3.0,4.0,2.0,3,4,7.636801418439717,9.485106382978723,17.102127659574467,0.10727969348659004,235,0.9003831417624522
0,Non-Travel,Research & Development,5,4,Life Sciences,48,1,Sales Executive,85780,7.0,21,0,11.0,4,9,0,8,2.0,2.0,3.0,3,4,7.83278129395218,9.468354430379748,17.303797468354432,0.23754789272030652,237,0.9080459770114943
0,Travel_Rarely,Sales,2,3,Marketing,49,2,Laboratory Technician,27060,1.0,21,1,13.0,4,13,4,8,4.0,3.0,2.0,3,4,6.974765051395007,9.524229074889869,16.47136563876652,0.0,227,0.8697318007662835
0,Travel_Rarely,Research & Development,5,2,Life Sciences,50,3,Research Scientist,63840,3.0,19,2,19.0,4,10,0,1,1.0,2.0,3.0,2,3,6.906424220272905,9.478070175438596,16.346491228070175,0.0,228,0.8735632183908046
0,Non-Travel,Research & Development,2,3,Life Sciences,51,2,Manufacturing Director,39680,2.0,13,2,12.0,3,5,1,2,4.0,3.0,3.0,2,3,10.895463728191,9.5,20.40909090909091,0.9272030651340997,242,0.9272030651340997
0,Travel_Rarely,Research & Development,20,1,Technical Degree,52,3,Research Scientist,99070,0.0,13,1,6.0,3,5,0,3,3.0,4.0,3.0,2,3,9.125665729020158,9.447257383966244,18.641350210970465,0.9080459770114943,237,0.9080459770114943
0,Travel_Rarely,Sales,7,4,Marketing,53,2,Sales Executive,132250,3.0,21,1,9.0,2,2,1,0,1.0,1.0,3.0,3,4,6.831459786145978,9.476987447698745,16.284518828451883,0.0,239,0.9157088122605364
0,Travel_Frequently,Research & Development,3,1,Medical,54,1,Sales Executive,35400,1.0,13,0,24.0,6,24,9,11,1.0,1.0,3.0,3,3,7.3160499058380415,9.538135593220339,16.85169491525424,0.019157088122605363,236,0.9042145593869731
0,Travel_Rarely,Sales,16,4,Marketing,55,2,Research Scientist,28040,0.0,19,2,3.0,0,2,2,2,3.0,4.0,1.0,3,3,8.610798041894354,9.51639344262295,18.135245901639344,0.9080459770114943,244,0.9348659003831418
0,Travel_Frequently,Research & Development,9,3,Life Sciences,56,4,Research Director,193920,6.0,12,1,12.0,3,10,8,8,4.0,2.0,3.0,3,3,6.784845288326301,9.485232067510548,16.265822784810126,0.0,237,0.9080459770114943
0,Travel_Rarely,Sales,1,4,Life Sciences,57,1,Sales Executive,196650,1.0,22,1,21.0,6,21,11,10,3.0,1.0,3.0,3,4,10.986099773242628,9.518367346938776,20.538775510204083,0.9386973180076629,245,0.9386973180076629
0,Travel_Frequently,Research & Development,7,4,Medical,58,4,Research Scientist,24390,0.0,15,0,9.0,2,8,1,7,3.0,4.0,3.0,3,3,7.68658467939305,9.519823788546255,17.19383259911894,0.14942528735632185,227,0.8697318007662835
0,Travel_Rarely,Research & Development,1,3,Life Sciences,59,3,Manufacturing Director,73140,7.0,22,0,25.0,2,7,0,7,3.0,3.0,3.0,3,4,9.948856881572931,9.497942386831276,19.440329218106996,0.9310344827586207,243,0.9310344827586207
1,Travel_Rarely,Research & Development,7,1,Life Sciences,60,2,Research Scientist,47740,2.0,18,1,11.0,2,8,7,7,3.0,2.0,2.0,3,3,7.9055276615527665,9.447698744769875,17.372384937238493,0.3563218390804598,239,0.9157088122605364
0,Travel_Rarely,Research & Development,15,4,Medical,61,3,Research Scientist,39020,1.0,22,0,4.0,2,4,1,2,3.0,2.0,2.0,3,4,10.672414617486337,9.5,20.14344262295082,0.9348659003831418,244,0.9348659003831418
0,Travel_Rarely,Research & Development,1,3,Life Sciences,62,3,Research Scientist,26620,1.0,11,1,13.0,6,13,11,9,3.0,2.0,3.0,4,3,10.496171548117156,9.510460251046025,20.01673640167364,0.9157088122605364,239,0.9157088122605364
0,Travel_Rarely,Research & Development,13,2,Medical,63,4,Research Director,28560,1.0,12,2,5.0,5,5,0,4,4.0,3.0,3.0,4,3,10.069261664261665,9.545454545454545,19.606060606060606,0.8850574712643678,231,0.8850574712643678
0,Travel_Rarely,Sales,24,3,Life Sciences,64,2,Healthcare Representative,10810,4.0,11,3,13.0,4,7,1,7,4.0,4.0,3.0,4,3,6.607014174668495,9.477366255144032,16.08230452674897,0.0,243,0.9310344827586207
0,Travel_Rarely,Research & Development,7,3,Technical Degree,65,2,Healthcare Representative,24720,7.0,13,0,10.0,2,7,0,7,1.0,4.0,2.0,3,3,7.497914908579466,9.455696202531646,16.970464135021096,0.04597701149425287,237,0.9080459770114943
1,Travel_Rarely,Research & Development,9,4,Medical,66,1,Sales Executive,56730,5.0,14,1,5.0,4,3,2,2,1.0,4.0,2.0,2,3,10.727235717498877,9.506072874493928,20.210526315789473,0.946360153256705,247,0.946360153256705
0,Travel_Rarely,Research & Development,13,3,Life Sciences,67,4,Research Director,41970,1.0,13,0,11.0,3,10,1,9,4.0,4.0,3.0,3,3,6.184816810344828,9.512931034482758,15.676724137931034,0.0,232,0.8888888888888888
0,Travel_Frequently,Research & Development,2,1,Life Sciences,68,1,Manager,97130,1.0,17,0,10.0,5,10,8,9,3.0,3.0,3.0,2,3,6.609300048947627,9.537444933920705,16.110132158590307,0.0,227,0.8697318007662835
0,Travel_Frequently,Research & Development,19,4,Medical,69,1,Research Scientist,20620,1.0,13,0,21.0,4,21,13,3,3.0,4.0,3.0,3,3,6.07624634502924,9.513157894736842,15.618421052631579,0.0,228,0.8735632183908046
1,Travel_Rarely,Research & Development,1,1,Medical,70,1,Laboratory Technician,42840,4.0,17,1,12.0,0,1,0,0,4.0,3.0,2.0,3,3,9.971745709123757,9.487804878048781,19.46747967479675,0.9425287356321839,246,0.9425287356321839
0,Travel_Frequently,Sales,4,2,Life Sciences,71,4,Research Scientist,47880,3.0,11,1,9.0,0,7,0,1,2.0,4.0,2.0,3,3,7.42145202020202,9.53305785123967,16.946280991735538,0.019157088122605363,242,0.9272030651340997
0,Travel_Rarely,Research & Development,4,3,Life Sciences,72,2,Healthcare Representative,59060,4.0,23,0,21.0,4,3,1,1,4.0,3.0,3.0,4,4,6.493810013717422,9.530864197530864,16.012345679012345,0.0,243,0.9310344827586207
0,Travel_Frequently,Research & Development,14,3,Medical,73,5,Research Director,38860,1.0,17,2,9.0,2,9,0,0,3.0,3.0,4.0,3,3,6.299470449172577,9.540425531914893,15.85531914893617,0.0,235,0.9003831417624522
0,Non-Travel,Research & Development,2,3,Life Sciences,74,1,Research Director,168230,0.0,17,0,6.0,3,5,1,4,3.0,2.0,3.0,3,3,9.316973304473304,9.541125541125542,18.835497835497836,0.8850574712643678,231,0.8850574712643678
0,Travel_Frequently,Research & Development,1,4,Life Sciences,75,2,Research Scientist,29330,3.0,12,2,20.0,2,4,0,3,4.0,3.0,2.0,3,3,6.097862787356322,9.530172413793103,15.577586206896552,0.0,232,0.8888888888888888
0,Travel_Rarely,Research & Development,7,2,Life Sciences,76,2,Manager,65000,8.0,23,0,10.0,3,1,0,0,3.0,1.0,2.0,3,4,7.217327264239029,9.550420168067227,16.756302521008404,0.0,238,0.9118773946360154
0,Travel_Rarely,Sales,3,1,Marketing,77,1,Sales Executive,171740,9.0,14,1,12.0,6,10,9,8,4.0,4.0,3.0,3,3,7.100070018365472,9.50413223140496,16.619834710743802,0.0,242,0.9272030651340997
0,Travel_Rarely,Research & Development,2,4,Other,78,4,Research Scientist,50330,2.0,14,2,6.0,6,4,0,2,2.0,4.0,2.0,3,3,9.914107744107746,9.545454545454545,19.406926406926406,0.8850574712643678,231,0.8850574712643678
1,Travel_Rarely,Research & Development,29,3,Medical,79,1,Research Scientist,23070,1.0,13,1,7.0,0,7,0,7,2.0,1.0,2.0,3,3,10.477788647342997,9.465217391304348,19.943478260869565,0.8812260536398467,230,0.8812260536398467
0,Travel_Rarely,Human Resources,8,3,Medical,80,3,Sales Representative,25870,0.0,22,2,4.0,3,3,2,2,2.0,4.0,3.0,3,4,6.906938633193863,9.564853556485355,16.401673640167363,0.0,239,0.9157088122605364
0,Travel_Rarely,Research & Development,10,3,Life Sciences,81,2,Research Scientist,55070,1.0,12,2,10.0,2,10,1,2,4.0,3.0,3.0,2,3,7.58909243295019,9.461206896551724,17.07758620689655,0.07662835249042145,232,0.8888888888888888
0,Travel_Rarely,Research & Development,11,2,Medical,82,1,Manager,43930,1.0,18,1,8.0,2,8,0,7,2.0,2.0,3.0,2,3,6.079724499089253,9.5,15.577868852459016,0.0,244,0.9348659003831418
0,Travel_Rarely,Sales,1,4,Life Sciences,83,2,Healthcare Representative,133480,7.0,14,0,8.0,4,6,0,4,4.0,4.0,2.0,3,3,6.001112288135593,9.466101694915254,15.516949152542374,0.0,236,0.9042145593869731
0,Travel_Rarely,Research & Development,28,4,Medical,84,1,Laboratory Technician,65830,0.0,12,0,12.0,1,11,2,9,3.0,4.0,3.0,3,3,8.983123278236915,9.557851239669422,18.50826446280992,0.9272030651340997,242,0.9272030651340997
0,Travel_Rarely,Research & Development,6,3,Medical,85,3,Manager,81030,1.0,15,1,11.0,5,11,4,10,3.0,4.0,,3,3,10.426184640522877,9.504201680672269,19.88235294117647,0.9118773946360154,238,0.9118773946360154
0,Travel_Rarely,Research & Development,3,4,Life Sciences,86,3,Sales Executive,39780,1.0,11,0,7.0,0,7,1,7,4.0,2.0,3.0,3,3,8.387526183970857,9.459016393442623,17.889344262295083,0.8620689655172413,244,0.9348659003831418
0,Travel_Rarely,Sales,16,2,Technical Degree,87,3,Manager,25440,0.0,13,1,17.0,3,16,0,13,3.0,2.0,3.0,4,3,7.9120386266094425,9.454935622317597,17.377682403433475,0.36398467432950193,233,0.89272030651341
0,Travel_Rarely,Research & Development,20,4,Life Sciences,88,1,Manufacturing Director,53990,1.0,23,0,4.0,2,4,0,2,3.0,4.0,2.0,2,4,7.105291842475386,9.531645569620252,16.641350210970465,0.0038314176245210726,237,0.9080459770114943
0,Travel_Rarely,Research & Development,9,2,Life Sciences,89,1,Laboratory Technician,54870,6.0,19,2,8.0,0,5,1,2,4.0,2.0,3.0,3,3,9.688633193863318,9.514644351464435,19.16317991631799,0.9157088122605364,239,0.9157088122605364
0,Travel_Frequently,Sales,1,3,Medical,90,2,Laboratory Technician,68340,3.0,16,1,5.0,2,0,0,0,2.0,3.0,3.0,4,3,7.770347512784752,9.451882845188285,17.255230125523013,0.19923371647509577,239,0.9157088122605364
0,Travel_Rarely,Research & Development,3,4,Life Sciences,91,1,Manager,10910,2.0,22,0,16.0,0,1,0,0,1.0,4.0,3.0,1,4,6.284280356305673,9.485232067510548,15.772151898734178,0.0,237,0.9080459770114943
0,Non-Travel,Sales,22,4,Marketing,92,2,Human Resources,57360,1.0,22,0,4.0,1,4,0,2,4.0,3.0,2.0,2,4,6.306108726752504,9.570815450643776,15.82832618025751,0.0,233,0.89272030651341
0,Travel_Rarely,Sales,7,4,Medical,93,3,Research Scientist,22260,0.0,12,1,4.0,3,3,1,0,3.0,3.0,3.0,2,3,8.831585038986356,9.535087719298245,18.342105263157894,0.8697318007662835,228,0.8735632183908046
0,Travel_Rarely,Research & Development,2,3,Medical,94,2,Research Scientist,57470,1.0,13,0,8.0,0,8,0,7,3.0,2.0,3.0,3,3,7.722377344877344,9.467532467532468,17.207792207792206,0.1724137931034483,231,0.8850574712643678
0,Travel_Rarely,Sales,13,4,Medical,95,4,Sales Executive,98540,3.0,16,1,15.0,2,0,0,0,1.0,3.0,1.0,2,3,7.317479732951836,9.493562231759658,16.78969957081545,0.0038314176245210726,233,0.89272030651341
0,Travel_Rarely,Research & Development,8,5,Technical Degree,96,2,Manufacturing Director,54670,4.0,12,0,13.0,2,7,6,7,3.0,1.0,3.0,3,3,10.798262483130904,9.437246963562753,20.246963562753038,0.946360153256705,247,0.946360153256705
0,Non-Travel,Sales,25,4,Other,97,1,Healthcare Representative,53800,7.0,21,1,4.0,0,2,2,2,4.0,3.0,4.0,3,4,10.40136394557823,9.448979591836734,19.89387755102041,0.9386973180076629,245,0.9386973180076629
0,Travel_Rarely,Sales,28,3,Medical,98,5,Laboratory Technician,51510,1.0,15,3,8.0,3,8,7,7,3.0,3.0,3.0,3,3,5.994326703246457,9.481481481481481,15.518518518518519,0.0,243,0.9310344827586207
0,Travel_Rarely,Sales,2,2,Medical,99,1,Laboratory Technician,21330,3.0,13,2,14.0,2,1,0,0,1.0,4.0,3.0,3,3,6.113110181311018,9.464435146443515,15.606694560669457,0.0,239,0.9157088122605364
1,Travel_Frequently,Research & Development,9,3,Medical,100,4,Manufacturing Director,178750,1.0,12,0,3.0,5,3,1,2,1.0,2.0,3.0,2,3,8.133578096539162,9.491803278688524,17.647540983606557,0.6513409961685823,244,0.9348659003831418
0,Non-Travel,Human Resources,28,3,Human Resources,101,2,Laboratory Technician,24320,4.0,22,0,7.0,4,1,0,0,4.0,4.0,3.0,1,4,7.306164990421457,9.491379310344827,16.788793103448278,0.007662835249042145,232,0.8888888888888888
0,Travel_Frequently,Research & Development,6,3,Life Sciences,102,2,Research Scientist,47710,4.0,13,1,16.0,2,13,1,12,1.0,4.0,3.0,3,3,7.105030345471522,9.483193277310924,16.57563025210084,0.0,238,0.9118773946360154
0,Travel_Rarely,Research & Development,21,4,Life Sciences,103,5,Research Scientist,191610,2.0,18,0,15.0,2,3,1,2,4.0,3.0,3.0,1,3,6.327729314420803,9.514893617021277,15.829787234042554,0.0,235,0.9003831417624522
0,Travel_Rarely,Research & Development,8,3,Other,104,2,Sales Executive,50870,3.0,14,1,10.0,3,7,1,7,4.0,3.0,3.0,3,3,8.1285121602289,9.493562231759658,17.605150214592275,0.5938697318007663,233,0.89272030651341
0,Non-Travel,Research & Development,1,5,Life Sciences,105,2,Manager,28630,1.0,14,0,3.0,2,3,2,2,1.0,4.0,2.0,1,3,7.98643255701116,9.449781659388647,17.43231441048035,0.4099616858237548,229,0.8773946360153256
1,Travel_Rarely,Human Resources,28,2,Human Resources,106,5,Manager,55610,1.0,21,1,1.0,3,1,0,0,4.0,3.0,3.0,1,4,10.509096921596921,9.519480519480519,20.017316017316016,0.8850574712643678,231,0.8850574712643678
0,Travel_Rarely,Research & Development,5,3,Life Sciences,107,4,Research Scientist,21440,6.0,19,0,17.0,3,5,0,3,3.0,1.0,3.0,4,3,7.9932840307840305,9.476190476190476,17.523809523809526,0.41379310344827586,231,0.8850574712643678
0,Non-Travel,Sales,2,4,Marketing,108,2,Laboratory Technician,30650,2.0,11,0,7.0,3,1,0,0,3.0,3.0,4.0,3,3,6.103653752436647,9.521929824561404,15.62280701754386,0.0,228,0.8735632183908046
1,Travel_Frequently,Research & Development,16,1,Medical,109,1,Research Scientist,28100,1.0,11,0,8.0,3,8,7,7,1.0,2.0,3.0,4,3,7.587908917501192,9.515021459227468,17.09442060085837,0.05747126436781609,233,0.89272030651341
0,Travel_Rarely,Research & Development,9,3,Medical,110,3,Laboratory Technician,98880,6.0,15,0,20.0,2,4,1,3,4.0,4.0,3.0,3,3,6.890321256038647,9.465217391304348,16.360869565217392,0.0,230,0.8812260536398467
1,Travel_Rarely,Research & Development,8,3,Medical,111,1,Healthcare Representative,86280,2.0,20,0,8.0,2,6,1,0,3.0,3.0,3.0,2,4,9.295999525166192,9.478632478632479,18.79059829059829,0.896551724137931,234,0.896551724137931
0,Travel_Rarely,Research & Development,1,3,Life Sciences,112,4,Human Resources,28670,0.0,24,0,3.0,5,2,2,2,,2.0,3.0,3,4,10.806078364950316,9.483739837398375,20.260162601626018,0.9425287356321839,246,0.9425287356321839
1,Travel_Rarely,Human Resources,10,2,Human Resources,113,1,Laboratory Technician,53730,1.0,12,1,1.0,2,1,0,0,3.0,2.0,3.0,3,3,5.995219806763284,9.517391304347827,15.508695652173913,0.0,230,0.8812260536398467
0,Travel_Rarely,Research & Development,1,3,Life Sciences,114,2,Research Director,66670,9.0,12,1,6.0,6,3,1,2,4.0,4.0,3.0,4,3,7.788609977324264,9.465306122448979,17.281632653061223,0.21839080459770116,245,0.9386973180076629
